order_id,booking_time,customer_id,customer_name,customer_email,event_id,event_name,event_location,seat_number,seat_price,event_category,booking_day_of_week,booking_hour,payment_id,payment_time,amount,payment_method,payment_type,booking_event_time,payment_event_time
order_3833,2025-02-04T19:20:05.0000000,cust3833,Caleb Steele,sbarnes@example.com,event85,Movie,"USNS Simmons
FPO AE 39333",B10,54,Cinema,Tuesday,19,payment_4833,2025-02-04T19:19:59.0000000,156,Debit Card,Card,2025-02-04T13:50:06.5280000,2025-02-04T13:50:00.0010000
order_4318,2025-02-04T19:20:41.0000000,cust4318,Alexis Wagner,carol40@example.org,event8,Play,"912 Gregory Vista
East Sonyaside, WI 92911",C4,79,Theater,Tuesday,19,payment_5318,2025-02-04T19:20:34.0000000,107,PayPal,Online,2025-02-04T13:50:42.4110000,2025-02-04T13:50:35.4950000
order_4294,2025-02-04T19:20:39.0000000,cust4294,Shelby Vasquez,zlee@example.com,event71,Concert,"3021 Davis Fields
Josephview, IN 28469",B9,60,Music,Tuesday,19,payment_5294,2025-02-04T19:20:32.0000000,115,Credit Card,Card,2025-02-04T13:50:40.7480000,2025-02-04T13:50:33.8490000
order_3836,2025-02-04T19:20:05.0000000,cust3836,Tracy Ferguson,brandon57@example.com,event82,Play,"04580 Murray Inlet
Port Brianside, VT 41285",B10,52,Theater,Tuesday,19,payment_4836,2025-02-04T19:19:59.0000000,162,PayPal,Online,2025-02-04T13:50:06.7370000,2025-02-04T13:50:00.2280000
order_3835,2025-02-04T19:20:05.0000000,cust3835,Courtney Davis,zfoster@example.com,event51,Concert,"323 Gibson Hills
Nicholasmouth, NE 94322",A4,82,Music,Tuesday,19,payment_4835,2025-02-04T19:19:59.0000000,157,Credit Card,Card,2025-02-04T13:50:06.6690000,2025-02-04T13:50:00.1420000
order_4293,2025-02-04T19:20:39.0000000,cust4293,Stephen Gonzalez,jerrycunningham@example.com,event90,Movie,"202 Jenkins Neck
West Michaelburgh, NV 42480",B1,57,Cinema,Tuesday,19,payment_5293,2025-02-04T19:20:32.0000000,135,Debit Card,Card,2025-02-04T13:50:40.4040000,2025-02-04T13:50:33.7700000
order_4228,2025-02-04T19:20:34.0000000,cust4228,Ronald Roberson,christian48@example.net,event13,Concert,"533 Adam Parks
Keithmouth, IN 95198",C6,59,Music,Tuesday,19,payment_5228,2025-02-04T19:20:28.0000000,155,Debit Card,Card,2025-02-04T13:50:35.8100000,2025-02-04T13:50:29.3010000
order_4264,2025-02-04T19:20:37.0000000,cust4264,Crystal Schmidt,sarah38@example.org,event77,Movie,"077 Jeffrey Lodge
Billymouth, VI 13623",C8,82,Cinema,Tuesday,19,payment_5264,2025-02-04T19:20:30.0000000,170,PayPal,Online,2025-02-04T13:50:38.3880000,2025-02-04T13:50:31.7700000
order_4308,2025-02-04T19:20:40.0000000,cust4308,Veronica Lewis,williamortega@example.com,event72,Concert,"33125 Steven Union Apt. 138
Leonardland, NE 04537",C3,86,Music,Tuesday,19,payment_5308,2025-02-04T19:20:33.0000000,143,Credit Card,Card,2025-02-04T13:50:41.7240000,2025-02-04T13:50:34.8070000
order_4324,2025-02-04T19:20:41.0000000,cust4324,Janet Ryan,clarkrodney@example.com,event74,Concert,"PSC 7137, Box 6656
APO AE 71443",A7,68,Music,Tuesday,19,payment_5324,2025-02-04T19:20:34.0000000,103,Debit Card,Card,2025-02-04T13:50:42.8330000,2025-02-04T13:50:35.9010000
order_4272,2025-02-04T19:20:37.0000000,cust4272,Thomas Ellis,lnewman@example.net,event41,Movie,"08555 David Fall
Jonesmouth, SC 41438",C4,96,Cinema,Tuesday,19,payment_5272,2025-02-04T19:20:31.0000000,134,Debit Card,Card,2025-02-04T13:50:38.9270000,2025-02-04T13:50:32.3540000
order_4510,2025-02-04T19:20:54.0000000,cust4510,John Hall,jeffreycook@example.com,event69,Concert,"6100 Taylor Parkways Suite 996
Larsenmouth, AL 61517",C10,51,Music,Tuesday,19,payment_5510,2025-02-04T19:20:47.0000000,157,Credit Card,Card,2025-02-04T13:50:55.8180000,2025-02-04T13:50:48.4170000
order_4410,2025-02-04T19:20:47.0000000,cust4410,Tina Lopez,joseph18@example.com,event79,Play,"62748 Meghan Villages Suite 234
South Josephville, LA 94112",C3,89,Theater,Tuesday,19,payment_5410,2025-02-04T19:20:40.0000000,182,Debit Card,Card,2025-02-04T13:50:48.7790000,2025-02-04T13:50:41.6770000
order_3834,2025-02-04T19:20:05.0000000,cust3834,Patrick Nguyen,mhudson@example.com,event59,Concert,"401 Davis Fort
Timothyburgh, CT 16971",B5,63,Music,Tuesday,19,payment_4834,2025-02-04T19:19:59.0000000,195,Debit Card,Card,2025-02-04T13:50:06.6060000,2025-02-04T13:50:00.0790000
order_4230,2025-02-04T19:20:34.0000000,cust4230,Benjamin Allen,michaelblair@example.com,event40,Concert,"9341 Kathryn Light Suite 474
Lake Rebekah, NE 07260",C9,95,Music,Tuesday,19,payment_5230,2025-02-04T19:20:28.0000000,122,Credit Card,Card,2025-02-04T13:50:35.9510000,2025-02-04T13:50:29.4420000
order_3002,2025-02-04T19:19:06.0000000,cust3002,Taylor Kirby,vmitchell@example.net,event11,Play,"242 Timothy Manor Suite 073
West Randyview, NY 61658",A4,83,Theater,Tuesday,19,payment_4002,2025-02-04T19:19:01.0000000,113,PayPal,Online,2025-02-04T13:49:07.6060000,2025-02-04T13:49:02.4760000
order_3597,2025-02-04T19:19:48.0000000,cust3597,Katie Rowe,williamibarra@example.org,event37,Movie,"4126 Vincent Glens Apt. 699
Lake Matthew, MA 93864",B8,58,Cinema,Tuesday,19,payment_4597,2025-02-04T19:19:42.0000000,110,PayPal,Online,2025-02-04T13:49:49.7000000,2025-02-04T13:49:43.9060000
order_4398,2025-02-04T19:20:46.0000000,cust4398,Thomas Richards,gfloyd@example.net,event56,Play,"USNV Mccann
FPO AP 01047",C6,75,Theater,Tuesday,19,payment_5398,2025-02-04T19:20:39.0000000,141,Debit Card,Card,2025-02-04T13:50:47.9510000,2025-02-04T13:50:40.8810000
order_4421,2025-02-04T19:20:48.0000000,cust4421,Alexis Bell,joneschristina@example.com,event24,Concert,"PSC 2973, Box 9539
APO AA 75944",B1,92,Music,Tuesday,19,payment_5421,2025-02-04T19:20:41.0000000,175,Credit Card,Card,2025-02-04T13:50:49.5290000,2025-02-04T13:50:42.4280000
order_3835,2025-02-04T19:20:05.0000000,cust3835,Courtney Davis,zfoster@example.com,event51,Concert,"323 Gibson Hills
Nicholasmouth, NE 94322",C1,72,Music,Tuesday,19,payment_4835,2025-02-04T19:19:59.0000000,157,Credit Card,Card,2025-02-04T13:50:06.6690000,2025-02-04T13:50:00.1420000
order_4323,2025-02-04T19:20:41.0000000,cust4323,Jennifer Klein,longryan@example.org,event37,Concert,"972 Joseph Avenue
East Briannashire, TN 20149",A6,59,Music,Tuesday,19,payment_5323,2025-02-04T19:20:34.0000000,176,Debit Card,Card,2025-02-04T13:50:42.7640000,2025-02-04T13:50:35.8180000
order_4322,2025-02-04T19:20:41.0000000,cust4322,Karen Martin,toddmyers@example.net,event82,Movie,"Unit 1510 Box 8199
DPO AA 04061",C8,100,Cinema,Tuesday,19,payment_5322,2025-02-04T19:20:34.0000000,146,Debit Card,Card,2025-02-04T13:50:42.6930000,2025-02-04T13:50:35.7760000
order_3833,2025-02-04T19:20:05.0000000,cust3833,Caleb Steele,sbarnes@example.com,event85,Movie,"USNS Simmons
FPO AE 39333",C9,54,Cinema,Tuesday,19,payment_4833,2025-02-04T19:19:59.0000000,156,Debit Card,Card,2025-02-04T13:50:06.5280000,2025-02-04T13:50:00.0010000
order_4229,2025-02-04T19:20:34.0000000,cust4229,Joe Roberts,bmontes@example.org,event92,Play,"723 Black Forge
Bensonport, MI 00651",C2,75,Theater,Tuesday,19,payment_5229,2025-02-04T19:20:28.0000000,140,Debit Card,Card,2025-02-04T13:50:35.8730000,2025-02-04T13:50:29.3790000
order_4284,2025-02-04T19:20:38.0000000,cust4284,Jessica Moreno,jfisher@example.org,event29,Concert,"7060 Barnes Ferry Suite 979
South Alyssastad, UT 01739",C9,72,Music,Tuesday,19,payment_5284,2025-02-04T19:20:32.0000000,154,PayPal,Online,2025-02-04T13:50:39.7950000,2025-02-04T13:50:33.1770000
order_4513,2025-02-04T19:20:55.0000000,cust4513,Thomas Peterson,joseph14@example.org,event70,Play,"342 Collins Expressway
Rodriguezstad, PW 99542",B2,77,Theater,Tuesday,19,payment_5513,2025-02-04T19:20:47.0000000,156,PayPal,Online,2025-02-04T13:50:56.0220000,2025-02-04T13:50:48.6200000
order_4265,2025-02-04T19:20:37.0000000,cust4265,Crystal Perez,mhernandez@example.com,event20,Movie,"3257 David Vista
Taylorborough, MO 78076",C2,91,Cinema,Tuesday,19,payment_5265,2025-02-04T19:20:30.0000000,145,Credit Card,Card,2025-02-04T13:50:38.4510000,2025-02-04T13:50:31.8480000
order_4266,2025-02-04T19:20:37.0000000,cust4266,Sarah Gibson,maxwellcross@example.net,event43,Play,"109 Schmidt Haven Suite 869
Christinetown, AS 26360",A6,91,Theater,Tuesday,19,payment_5266,2025-02-04T19:20:30.0000000,119,PayPal,Online,2025-02-04T13:50:38.5210000,2025-02-04T13:50:31.9170000
order_4311,2025-02-04T19:20:40.0000000,cust4311,Jennifer Dawson,wbird@example.net,event11,Play,"89682 Brandi Lock Suite 956
North John, DE 25197",C8,66,Theater,Tuesday,19,payment_5311,2025-02-04T19:20:34.0000000,101,Debit Card,Card,2025-02-04T13:50:41.9270000,2025-02-04T13:50:35.0110000
order_4286,2025-02-04T19:20:38.0000000,cust4286,David Spears,esullivan@example.net,event86,Concert,"71442 Bryan Shoals
Tiffanybury, PA 79013",C7,77,Music,Tuesday,19,payment_5286,2025-02-04T19:20:32.0000000,113,PayPal,Online,2025-02-04T13:50:39.9200000,2025-02-04T13:50:33.3020000
order_3000,2025-02-04T19:19:05.0000000,cust3000,Tiffany Vasquez,brandy42@example.com,event84,Concert,"33546 Dana Crest
New Elizabethmouth, VT 35616",B3,74,Music,Tuesday,19,payment_4000,2025-02-04T19:19:00.0000000,125,Debit Card,Card,2025-02-04T13:49:07.4650000,2025-02-04T13:49:02.3060000
order_3001,2025-02-04T19:19:06.0000000,cust3001,Maria Young,vjordan@example.org,event84,Play,"PSC 9251, Box 6164
APO AP 26761",C3,89,Theater,Tuesday,19,payment_4001,2025-02-04T19:19:01.0000000,113,PayPal,Online,2025-02-04T13:49:07.5430000,2025-02-04T13:49:02.3840000
order_3592,2025-02-04T19:19:48.0000000,cust3592,David Crawford,zdean@example.net,event91,Movie,"PSC 0193, Box 5750
APO AP 91755",A9,55,Cinema,Tuesday,19,payment_4592,2025-02-04T19:19:42.0000000,164,Debit Card,Card,2025-02-04T13:49:49.3720000,2025-02-04T13:49:43.5620000
order_4228,2025-02-04T19:20:34.0000000,cust4228,Ronald Roberson,christian48@example.net,event13,Concert,"533 Adam Parks
Keithmouth, IN 95198",A1,59,Music,Tuesday,19,payment_5228,2025-02-04T19:20:28.0000000,155,Debit Card,Card,2025-02-04T13:50:35.8100000,2025-02-04T13:50:29.3010000
order_4437,2025-02-04T19:20:49.0000000,cust4437,Zachary Wilson,ubowman@example.com,event92,Concert,"2969 Proctor Throughway
East Catherinebury, MT 96241",B5,61,Music,Tuesday,19,payment_5437,2025-02-04T19:20:42.0000000,183,Debit Card,Card,2025-02-04T13:50:50.6070000,2025-02-04T13:50:43.4900000
order_4491,2025-02-04T19:20:53.0000000,cust4491,Christopher Alvarado,jennaellis@example.org,event29,Concert,"12477 Phillips Parkway
Peterfort, GU 45483",A3,94,Music,Tuesday,19,payment_5491,2025-02-04T19:20:46.0000000,106,Credit Card,Card,2025-02-04T13:50:54.5140000,2025-02-04T13:50:47.1160000
order_4229,2025-02-04T19:20:34.0000000,cust4229,Joe Roberts,bmontes@example.org,event92,Play,"723 Black Forge
Bensonport, MI 00651",A10,66,Theater,Tuesday,19,payment_5229,2025-02-04T19:20:28.0000000,140,Debit Card,Card,2025-02-04T13:50:35.8730000,2025-02-04T13:50:29.3790000
order_4266,2025-02-04T19:20:37.0000000,cust4266,Sarah Gibson,maxwellcross@example.net,event43,Play,"109 Schmidt Haven Suite 869
Christinetown, AS 26360",C2,90,Theater,Tuesday,19,payment_5266,2025-02-04T19:20:30.0000000,119,PayPal,Online,2025-02-04T13:50:38.5210000,2025-02-04T13:50:31.9170000
order_4230,2025-02-04T19:20:34.0000000,cust4230,Benjamin Allen,michaelblair@example.com,event40,Concert,"9341 Kathryn Light Suite 474
Lake Rebekah, NE 07260",C10,64,Music,Tuesday,19,payment_5230,2025-02-04T19:20:28.0000000,122,Credit Card,Card,2025-02-04T13:50:35.9510000,2025-02-04T13:50:29.4420000
order_4321,2025-02-04T19:20:41.0000000,cust4321,Jason Stokes,samantha27@example.net,event29,Play,"9837 Perez Haven Suite 501
Lake Davidchester, NM 46564",C2,65,Theater,Tuesday,19,payment_5321,2025-02-04T19:20:34.0000000,111,Credit Card,Card,2025-02-04T13:50:42.6380000,2025-02-04T13:50:35.6930000
order_3002,2025-02-04T19:19:06.0000000,cust3002,Taylor Kirby,vmitchell@example.net,event11,Play,"242 Timothy Manor Suite 073
West Randyview, NY 61658",B9,89,Theater,Tuesday,19,payment_4002,2025-02-04T19:19:01.0000000,113,PayPal,Online,2025-02-04T13:49:07.6060000,2025-02-04T13:49:02.4760000
order_3597,2025-02-04T19:19:48.0000000,cust3597,Katie Rowe,williamibarra@example.org,event37,Movie,"4126 Vincent Glens Apt. 699
Lake Matthew, MA 93864",C9,79,Cinema,Tuesday,19,payment_4597,2025-02-04T19:19:42.0000000,110,PayPal,Online,2025-02-04T13:49:49.7000000,2025-02-04T13:49:43.9060000
order_4284,2025-02-04T19:20:38.0000000,cust4284,Jessica Moreno,jfisher@example.org,event29,Concert,"7060 Barnes Ferry Suite 979
South Alyssastad, UT 01739",A2,93,Music,Tuesday,19,payment_5284,2025-02-04T19:20:32.0000000,154,PayPal,Online,2025-02-04T13:50:39.7950000,2025-02-04T13:50:33.1770000
order_3003,2025-02-04T19:19:06.0000000,cust3003,David Murray,dwalsh@example.org,event75,Concert,"861 William Hills
North Brittanymouth, AS 47773",B3,59,Music,Tuesday,19,payment_4003,2025-02-04T19:19:01.0000000,126,Credit Card,Card,2025-02-04T13:49:07.7460000,2025-02-04T13:49:02.5560000
order_3601,2025-02-04T19:19:48.0000000,cust3601,Robert Logan,moralesvictoria@example.org,event38,Play,"6900 Moore Walk
Serranoville, VA 13088",C4,92,Theater,Tuesday,19,payment_4601,2025-02-04T19:19:43.0000000,135,PayPal,Online,2025-02-04T13:49:49.9810000,2025-02-04T13:49:44.1720000
order_4290,2025-02-04T19:20:39.0000000,cust4290,Thomas Jones,tonya84@example.org,event4,Movie,"66275 Campos Stravenue Suite 073
West Joshua, MP 30702",C2,96,Cinema,Tuesday,19,payment_5290,2025-02-04T19:20:32.0000000,182,PayPal,Online,2025-02-04T13:50:40.1850000,2025-02-04T13:50:33.5670000
order_4376,2025-02-04T19:20:45.0000000,cust4376,Michelle Mendoza,dtownsend@example.org,event8,Play,"9780 Matthew Plain Apt. 750
North Lisafurt, OR 83436",A6,90,Theater,Tuesday,19,payment_5376,2025-02-04T19:20:38.0000000,118,PayPal,Online,2025-02-04T13:50:46.4120000,2025-02-04T13:50:39.4170000
order_4367,2025-02-04T19:20:44.0000000,cust4367,Angela Mcdonald,williamsbrianna@example.net,event33,Concert,"9132 Stanley Port
Longside, AS 65941",C6,72,Music,Tuesday,19,payment_5367,2025-02-04T19:20:37.0000000,107,PayPal,Online,2025-02-04T13:50:45.8180000,2025-02-04T13:50:38.8230000
order_4321,2025-02-04T19:20:41.0000000,cust4321,Jason Stokes,samantha27@example.net,event29,Play,"9837 Perez Haven Suite 501
Lake Davidchester, NM 46564",C9,94,Theater,Tuesday,19,payment_5321,2025-02-04T19:20:34.0000000,111,Credit Card,Card,2025-02-04T13:50:42.6380000,2025-02-04T13:50:35.6930000
order_4289,2025-02-04T19:20:39.0000000,cust4289,Betty Henderson,jeanette46@example.org,event91,Movie,"431 Hopkins Islands
Garzaland, CT 23581",B7,64,Cinema,Tuesday,19,payment_5289,2025-02-04T19:20:32.0000000,179,Credit Card,Card,2025-02-04T13:50:40.1300000,2025-02-04T13:50:33.5260000
order_4346,2025-02-04T19:20:43.0000000,cust4346,Jennifer Richardson,adamszachary@example.com,event48,Movie,"4183 Peter Passage Apt. 164
Burnsstad, PW 01646",A2,82,Cinema,Tuesday,19,payment_5346,2025-02-04T19:20:36.0000000,136,Credit Card,Card,2025-02-04T13:50:44.3570000,2025-02-04T13:50:37.3800000
order_4313,2025-02-04T19:20:41.0000000,cust4313,Patricia Prince,areyes@example.com,event59,Movie,"58904 Sherri Streets
Bridgetshire, MD 94752",A10,94,Cinema,Tuesday,19,payment_5313,2025-02-04T19:20:34.0000000,107,PayPal,Online,2025-02-04T13:50:42.0680000,2025-02-04T13:50:35.1360000
order_4268,2025-02-04T19:20:37.0000000,cust4268,Patricia Henderson,jamesortiz@example.com,event9,Concert,"4146 Smith Forks Suite 922
Roweview, MD 12248",C6,93,Music,Tuesday,19,payment_5268,2025-02-04T19:20:31.0000000,100,Credit Card,Card,2025-02-04T13:50:38.6610000,2025-02-04T13:50:32.0570000
order_3005,2025-02-04T19:19:06.0000000,cust3005,Michael Ray,thompsonrhonda@example.com,event61,Play,"17250 Logan Cove
New William, AR 10125",B10,71,Theater,Tuesday,19,payment_4005,2025-02-04T19:19:01.0000000,123,Credit Card,Card,2025-02-04T13:49:07.8870000,2025-02-04T13:49:02.6940000
order_3600,2025-02-04T19:19:48.0000000,cust3600,Jason Calhoun,urodriguez@example.com,event75,Play,"41670 Erin Bypass
Brentfurt, NH 41525",C5,96,Theater,Tuesday,19,payment_4600,2025-02-04T19:19:43.0000000,153,Debit Card,Card,2025-02-04T13:49:49.9080000,2025-02-04T13:49:44.1180000
order_4403,2025-02-04T19:20:47.0000000,cust4403,Lynn Duffy,josephbennett@example.org,event43,Concert,"06955 Gerald Locks
West Ashleystad, CT 07142",B5,72,Music,Tuesday,19,payment_5403,2025-02-04T19:20:40.0000000,178,PayPal,Online,2025-02-04T13:50:48.3020000,2025-02-04T13:50:41.2290000
order_4275,2025-02-04T19:20:38.0000000,cust4275,Joseph Goodman,stacey90@example.com,event44,Movie,"56532 Kyle Turnpike Suite 782
South Jacob, IN 85630",C2,67,Cinema,Tuesday,19,payment_5275,2025-02-04T19:20:31.0000000,190,Debit Card,Card,2025-02-04T13:50:39.1230000,2025-02-04T13:50:32.5520000
order_4468,2025-02-04T19:20:51.0000000,cust4468,Antonio Peterson,colleenstewart@example.net,event34,Movie,"819 Perez Trail
South Roy, MO 41489",B5,92,Cinema,Tuesday,19,payment_5468,2025-02-04T19:20:44.0000000,142,Debit Card,Card,2025-02-04T13:50:52.7710000,2025-02-04T13:50:45.5730000
order_4301,2025-02-04T19:20:40.0000000,cust4301,John Scott,davidmiller@example.net,event28,Play,"21831 Vaughn Cliffs Apt. 374
Stephensfurt, AS 60979",C5,53,Theater,Tuesday,19,payment_5301,2025-02-04T19:20:33.0000000,114,PayPal,Online,2025-02-04T13:50:41.2320000,2025-02-04T13:50:34.3170000
order_4336,2025-02-04T19:20:42.0000000,cust4336,Cynthia Walker,jon60@example.org,event30,Concert,"Unit 0267 Box 4216
DPO AP 21251",B5,76,Music,Tuesday,19,payment_5336,2025-02-04T19:20:35.0000000,172,Credit Card,Card,2025-02-04T13:50:43.6540000,2025-02-04T13:50:36.7080000
order_3836,2025-02-04T19:20:05.0000000,cust3836,Tracy Ferguson,brandon57@example.com,event82,Play,"04580 Murray Inlet
Port Brianside, VT 41285",B6,66,Theater,Tuesday,19,payment_4836,2025-02-04T19:19:59.0000000,162,PayPal,Online,2025-02-04T13:50:06.7370000,2025-02-04T13:50:00.2280000
order_4421,2025-02-04T19:20:48.0000000,cust4421,Alexis Bell,joneschristina@example.com,event24,Concert,"PSC 2973, Box 9539
APO AA 75944",B9,69,Music,Tuesday,19,payment_5421,2025-02-04T19:20:41.0000000,175,Credit Card,Card,2025-02-04T13:50:49.5290000,2025-02-04T13:50:42.4280000
order_4357,2025-02-04T19:20:44.0000000,cust4357,Justin Fowler,nsmith@example.org,event12,Play,"69091 Carrie Isle
Wendyfort, MH 62939",B6,55,Theater,Tuesday,19,payment_5357,2025-02-04T19:20:37.0000000,177,Credit Card,Card,2025-02-04T13:50:45.1150000,2025-02-04T13:50:38.1510000
order_3839,2025-02-04T19:20:05.0000000,cust3839,Angela Martinez,rhodesregina@example.com,event12,Play,"348 Veronica Via Suite 506
South Stephanie, NE 50450",B7,82,Theater,Tuesday,19,payment_4839,2025-02-04T19:19:59.0000000,119,Debit Card,Card,2025-02-04T13:50:06.9400000,2025-02-04T13:50:00.4310000
order_3838,2025-02-04T19:20:05.0000000,cust3838,Nancy Kane,rrobinson@example.net,event24,Movie,"507 Butler Key Suite 674
Port Anitatown, DE 89003",C10,97,Cinema,Tuesday,19,payment_4838,2025-02-04T19:19:59.0000000,137,Debit Card,Card,2025-02-04T13:50:06.8720000,2025-02-04T13:50:00.3450000
order_4419,2025-02-04T19:20:48.0000000,cust4419,Meredith Rivera,jack83@example.com,event82,Concert,"USS Espinoza
FPO AA 04917",A4,86,Music,Tuesday,19,payment_5419,2025-02-04T19:20:41.0000000,188,Debit Card,Card,2025-02-04T13:50:49.3810000,2025-02-04T13:50:42.3080000
order_4232,2025-02-04T19:20:35.0000000,cust4232,Edwin Moore,martinezrobert@example.com,event8,Concert,"75776 Phillip Keys
Michellemouth, AL 36656",B5,81,Music,Tuesday,19,payment_5232,2025-02-04T19:20:28.0000000,148,Debit Card,Card,2025-02-04T13:50:36.0910000,2025-02-04T13:50:29.5980000
order_4267,2025-02-04T19:20:37.0000000,cust4267,Janice Garcia,milleramanda@example.net,event57,Concert,"Unit 0962 Box 1298
DPO AE 10847",A5,99,Music,Tuesday,19,payment_5267,2025-02-04T19:20:30.0000000,122,PayPal,Online,2025-02-04T13:50:38.5910000,2025-02-04T13:50:31.9730000
order_4312,2025-02-04T19:20:40.0000000,cust4312,Gabriel Marshall,hardingchristian@example.com,event56,Play,"692 Renee Dam Suite 313
West Zachary, MO 79174",C9,100,Theater,Tuesday,19,payment_5312,2025-02-04T19:20:34.0000000,116,Credit Card,Card,2025-02-04T13:50:42.0050000,2025-02-04T13:50:35.0730000
